"Episode","Title","Guest","Quote","Link","Time","MP3","Spotify","Overcast"
"290","Gretchen Rubin — Experiments in Happiness and Creativity (#290)","Gretchen Rubin","The days are long, but the years are short.","https://tim.blog/2018/01/10/gretchen-rubin-experiments-in-happiness-and-creativity/","1:28:29","https://rss.art19.com/episodes/0c836c2c-76aa-4a7c-9582-4305c6410e6b.mp3","",""
"289","How to Handle Information Overwhelm (And Social Media) (#289)","Tim Ferriss","","https://tim.blog/2018/01/04/how-to-handle-information-overwhelm-and-social-media/","","https://rss.art19.com/episodes/7c3ed23e-2d1a-46bf-a74a-2fadc7e345c7.mp3","",""
"288","The Badass Brand-Builder: Bozoma Saint John (#288)","Bozoma Saint John","","https://tim.blog/2017/12/27/bozoma-saint-john-2/","","https://rss.art19.com/episodes/18f80039-69f9-428f-868c-f49a0b25c0eb.mp3","",""
"287","Terry Crews — How to Have, Do, and Be All You Want (#287)","Terry Crews","","https://tim.blog/2017/12/20/terry-crews-how-to-have-do-and-be-all-you-want/","","https://rss.art19.com/episodes/5e0e91b1-34c3-4507-821b-6bb99dc06587.mp3","",""
"286","The Man Who Taught Me How to Invest — Mike Maples (#286)","Mike Maples","Integrity is the only path where you’ll never get lost.
Think for yourself always.","https://tim.blog/2017/12/16/the-man-who-taught-me-how-to-invest/","1:36:26","https://rss.art19.com/episodes/a37b219c-ddc8-412e-a344-3aae64dee746.mp3","",""
"285","Overcoming Doubt, Battling the Busy Trap, and Enhancing Life — M. Sanjayan (#285)","M Sanjayan","Nature is screaming.","https://tim.blog/2017/12/07/m-sanjayan/","51:23","https://rss.art19.com/episodes/370d31e4-20da-44aa-8f20-32d7a58d7db5.mp3","",""
"284","The Answers to My Favorite Questions (#284)","Tim Ferriss","You are the average of the five people you associate with most.","https://tim.blog/2017/12/03/the-answers-to-my-favorite-questions/","15:20","https://rss.art19.com/episodes/13d87dad-75aa-45f1-8ec4-27a858ec5f1e.mp3","",""
"283","Managing Procrastination, Predicting the Future, and Finding Happiness – Tim Urban (#283)","Tim Urban","","https://tim.blog/2017/11/30/managing-procrastination-predicting-the-future-and-finding-happiness/","","https://rss.art19.com/episodes/f2d4392d-c8c5-4a41-9f18-392532e29098.mp3","",""
"282","How to Say No (#282)","Tim Ferriss","","https://tim.blog/2017/11/25/how-to-say-no/","","https://rss.art19.com/episodes/7d03a6a6-2bc3-4e21-8093-74fbba041600.mp3","",""
"281","Stewart Brand – The Polymath of Polymaths (#281)","Stewart Brand","","https://tim.blog/2017/11/21/stewart-brand/","","https://rss.art19.com/episodes/24f7ada5-64c3-4844-9522-ed6f3c144f1f.mp3","",""
"280","The Erotic Playbook of a Top-Earning Sex Worker (NSFW) (#280)","Alice Little","Sex is a need not a want.","https://tim.blog/2017/11/17/alice-little/","2:12:01","https://rss.art19.com/episodes/94e42944-29a2-4028-9cdc-866fdb84cd12.mp3","",""
"279","The Most Curious Man in Hollywood — Brian Grazer (#279)","Brian Grazer","","https://tim.blog/2017/11/12/brian-grazer/","","https://rss.art19.com/episodes/0229ba90-4725-4718-b788-e50326fcc779.mp3","",""
"278","Tim O’Reilly – The Trend Spotter (#278)","Tim Oreilly","","https://tim.blog/2017/11/08/tim-oreilly/","","https://rss.art19.com/episodes/00ba562c-2ed1-4258-93c2-04d525c75349.mp3","",""
"277","Sharon Salzberg, World-Renowned Meditation Teacher (#277)","Sharon Salzberg","","https://tim.blog/2017/11/03/sharon-salzberg/","","https://rss.art19.com/episodes/505397f9-8b1b-4747-b509-06cb97ab28f5.mp3","",""
